baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PRODH	138.834889814869	0.642788636732563	1.39672759263411	0.460210452003972	0.645365169451489	NA
AC007326.1	195.772853795635	-0.221113908083357	1.39537503378375	-0.158461992460748	0.87409276783999	NA
DGCR2	555.643631659797	-1.45625218312299	1.39295757210333	-1.04543900854358	0.295820115703691	0.364674797807137
DGCR14	162.739075128034	-0.884087400506449	1.39636057810944	-0.633136894843761	0.526644250744622	NA
TSSK2	304.298295959798	-0.76149210461199	1.39377244842155	-0.546353248318533	0.584823140269712	NA
GSC2	474.828109873358	-1.34033609515457	1.39318259842436	-0.962067783986424	0.336015555638337	0.384401795650257
SLC25A1	112.106101064398	-0.00885139416610728	1.39764339573321	-0.00633308481485994	0.994946963181827	NA
HIRA	255.767187464999	3.32414920582559	1.40325927315627	2.36887741945847	0.017842165797544	NA
C22orf39	7.00436205296075	-0.589663552035761	1.51485978094483	-0.389252892876978	0.69708907974172	NA
MRPL40	450.575347147681	0.913842701318334	1.39302227650415	0.6560144203951	0.511814845909375	0.55446608306849
UFD1L	263.499411083496	0.713458142199099	1.39443425501676	0.511647027912783	0.608898065798346	NA
CDC45	224.811963418022	-0.287457849390377	1.39446888099299	-0.206141458808087	0.836680414717555	NA
CLDN5	424.965537369496	-1.30746004982004	1.3934404454614	-0.938296325529079	0.348092147566429	0.395056961126979
TBX1	277.30782465129	1.16943599151177	1.39423586035089	0.8387648207653	0.401601295454069	NA
GNB1L	177.304774998871	-0.694704218129285	1.39555279949969	-0.497798591625009	0.618626008719081	NA
C22orf29	141.835515160231	-0.231451604062085	1.39641161067645	-0.165747407349302	0.868355736340729	NA
TXNRD2	357.689887068635	-1.68226409788041	1.39403976470982	-1.20675474291838	0.227526609891557	0.295784592859024
COMT	379.629713419772	-2.57991124528794	1.39504792935835	-1.84933520275147	0.0644094255901737	0.119617504667465
ARVCF	108.702689403777	-0.207179760687198	1.39805707293906	-0.148191203848105	0.882191873485477	NA
TANGO2	155.3185671103	1.78073130741224	1.3978478762225	1.27390922696427	0.202695587986272	NA
DGCR8	340.825063355558	-0.368984116237044	1.39341778935194	-0.264805085062574	0.791159619385345	0.808113039800746
TRMT2A	419.06727485321	3.50897496537049	1.39745189701729	2.51098085941993	0.0120396224760278	0.0358680419598327
RANBP1	333.47705390066	0.610552312528478	1.39348780392237	0.43814686487381	0.661279823632131	NA
CCDC188	767.731931356576	-2.74057647375197	1.39324114199255	-1.96705106614389	0.049177323840605	0.0988614834330007
RTN4R	808.822731906257	2.15110066395738	1.39283253961816	1.54440724406617	0.122489706226423	0.182458624899775
XXbac-B444P24.10	0.163510675064548	0.927152504553212	2.67175102236543	0.347020548244185	0.728575881634682	NA
DGCR6L	279.203111074515	1.8252178941993	1.39527473721044	1.30814229307157	0.190825050765336	NA
USP41	113.354456780368	-1.34265088710422	1.40002415701489	-0.959019800034734	0.337548770582999	NA
ZNF74	577.024472962765	-2.04721207441236	1.39315702262794	-1.46947690831768	0.141703480583182	0.204682805286818
SCARF2	98.1063487326771	0.0335811144957225	1.39919717617984	0.0240002732048155	0.980852390784806	NA
KLHL22	378.991712838448	1.16592111283318	1.39376799578391	0.83652452657834	0.402859884735746	0.446581112536524
MED15	129.919529878066	0.276476815148811	1.39681067571854	0.197934351415654	0.843096427301316	NA
TMEM191A	3.82191113274124	0.344891564682387	1.59093590152004	0.216785330165009	0.828375644942659	NA
PI4KA	238.910589927962	2.04406476239725	1.39620057088187	1.4640194288892	0.143188639856348	NA
SERPIND1	1022.08108367076	-2.89278209915775	1.39284025224802	-2.0768943850444	0.0378113081144022	0.078362566092167
SNAP29	409.498579528902	1.34252490527521	1.39340143296289	0.963487530237788	0.335302918996974	0.384401795650257
CRKL	197.565444172273	0.638802473331829	1.39504130283269	0.457909362278174	0.647017560366729	NA
AIFM3	172.180521265117	-0.275174348810905	1.39545408498439	-0.197193409494361	0.843676187823416	NA
LZTR1	109.795899607421	-0.806858211769069	1.3982367077811	-0.577054090540575	0.563902916241523	NA
THAP7	308.860635713073	1.22780278333746	1.39401164632387	0.880769387096073	0.378442652172227	NA
SLC7A4	294.320715950969	2.97718782455529	1.39743677581414	2.13046334265877	0.0331333791039978	NA
LRRC74B	75.7717475922543	-0.884613442259042	1.4021202823264	-0.630911237366375	0.528098563826919	NA
GGT2	48.2375433815548	-0.886605786704998	1.41359745399344	-0.627198205684596	0.530529319259659	NA
RIMBP3B	7.44777728458882	1.423014111598	1.56891939258516	0.907002691357682	0.364405374000197	NA
HIC2	118.603217188174	0.314660782105389	1.39734600557563	0.225184586244096	0.821835679931596	NA
TMEM191C	16.7644263823516	0.397508868795732	1.44402666355514	0.275278067107903	0.783102613683416	NA
PI4KAP2	0.988931080499968	3.41158975252991	2.42310882574971	1.40793913846373	0.159149092491187	NA
RIMBP3C	3.66916892297648	-0.564628347634515	1.59878249884086	-0.353161451319288	0.723967405589037	NA
UBE2L3	303.84955323111	0.818995055635905	1.39376083690672	0.587615201940645	0.556790604895458	NA
YDJC	374.721003795783	1.79503946312435	1.39406448130762	1.28763015426705	0.197874737422409	0.264449415433687
CCDC116	173.133828135069	0.705304161377135	1.39565953574014	0.505355456195198	0.613309198844495	NA
SDF2L1	174.462526212605	1.83399369592058	1.39731494052771	1.31251276482306	0.189347181955003	NA
PPIL2	34.1220488646638	-0.189196892816824	1.41492747087385	-0.133714905330079	0.893628018264751	NA
MAPK1	201.379476501096	-0.54626908193852	1.39496092001055	-0.391601710200161	0.695352524077021	NA
PPM1F	98.4306839446334	0.481839253202041	1.39875596287615	0.344476996695887	0.730487592639186	NA
TOP3B	880.137191464701	-3.02208273789367	1.39329809097752	-2.16901376486737	0.0300816388906819	0.0682805454185319
VPREB1	325.493672901536	1.79726534826628	1.39448379963122	1.28883917385169	0.197454003987374	NA
ZNF280B	704.369979423102	-1.95635204189446	1.39290442292532	-1.40451276462014	0.160166213326654	0.224546750055996
ZNF280A	2265.76483721397	-4.02458667358245	1.39268528156488	-2.889803408463	0.00385482812976078	0.0204163119465108
PRAME	452.201480463437	-3.11360716345831	1.39558034724405	-2.23104830159508	0.0256779296926236	0.0611990657674196
GGTLC2	455.955687674147	-4.09851426598505	1.40107535732205	-2.92526325908604	0.00344164932981016	0.0202753412838952
RSPH14	439.617533065002	1.83085107113206	1.39386140990511	1.31351012239925	0.189011112278284	0.25741513386471
GNAZ	394.424935665226	1.49378143228753	1.39369837558427	1.07181113105718	0.28380487248733	0.352905189266854
RAB36	404.468348063272	-1.12948961073806	1.39341251419281	-0.810592411962343	0.41759977589634	0.459359753485974
KB-1269D1.8	1.16952666954021	-1.35223483005684	2.02685166381443	-0.667160233873256	0.504669788861668	NA
IGLL1	296.779996677652	-1.89332881018497	1.39481723173219	-1.35740279594459	0.174653260341241	NA
DRICH1	272.246898669377	-2.83228027265537	1.39815618518921	-2.02572523918141	0.0427929487954821	NA
RGL4	246.058852156647	0.600019043369394	1.39427273551858	0.430345532896206	0.666944309840224	NA
ZNF70	570.998780773247	-3.907585791717	1.39706395638422	-2.79699850093501	0.00515797725941335	0.0237932499385842
VPREB3	179.852818133129	-0.523286626066135	1.39547976506044	-0.374986896383603	0.707670211971506	NA
C22orf15	233.809924710364	0.210012407829213	1.39431530586613	0.150620456467525	0.880275123565064	NA
CHCHD10	314.307071699546	-0.3523489294708	1.39352256775058	-0.252847666499985	0.800385931629969	NA
MMP11	368.905128769136	0.434448801733101	1.39329046789709	0.311814952978772	0.755181159400983	0.782542795611164
AP000349.2	1093.94502820236	-4.28848243777581	1.39482055220723	-3.07457646145915	0.00210801678834916	0.0202753412838952
SMARCB1	310.04336972382	-1.93550187059972	1.39493109796662	-1.38752507089496	0.165281711711149	NA
DERL3	134.437612427107	-0.390348489513441	1.39660348883816	-0.279498435048427	0.779862338837023	NA
SLC2A11	85.4721130335058	1.02874087399205	1.400835577535	0.734376603856881	0.46271924192957	NA
MIF	762.10857316325	3.61790347756302	1.39480970590636	2.59383302413433	0.0094912569800233	0.0315639476312403
GSTT2B	18.9016093923414	0.740755561710357	1.45277967515093	0.50988843964478	0.610129621391144	NA
DDTL	117.001806095135	1.25756107218877	1.40063786942366	0.897848829909358	0.369266147973503	NA
DDT	126.631904612198	2.64026744114587	1.41181469984404	1.87012321194667	0.0614667098029947	NA
GSTT2	1.16394949923158	0.382829677391501	1.98792905765846	0.192577132426661	0.847290155360118	NA
CABIN1	243.132311828423	0.172887734207666	1.39435879183729	0.123990851723221	0.901322518434769	NA
SUSD2	497.580304464594	2.53472105368404	1.39418730185686	1.81806350574858	0.0690544270208591	0.124997253974467
GGT5	637.144463763134	2.6186069315661	1.39383751819162	1.87870314680832	0.0602850379092063	0.114833344204228
SPECC1L	164.202327823706	-1.07908561021446	1.39638876574902	-0.772768756583083	0.439659246924512	NA
SPECC1L-ADORA2A	1.16722945039851	-1.35911469983206	2.24066428698604	-0.606567752128649	0.544137806627224	NA
ADORA2A	847.89047350436	-3.04659096440106	1.39351543791388	-2.18626280090723	0.028796384006822	0.0664174663383152
UPB1	1128.32332716481	4.2038303354815	1.39445879964602	3.01466801066381	0.00257260681721169	0.0202753412838952
GUCD1	318.024705090256	2.71986303184615	1.39640040127735	1.94776729465143	0.0514428138031857	NA
SNRPD3	596.381105156045	2.27954854484977	1.39359980905998	1.63572679188826	0.101896779620166	0.158383037887867
GGT1	50.7160860306232	-0.710713869126495	1.41065222790163	-0.503819336239728	0.614388338471022	NA
LRRC75B	53.6813578566325	0.171009730047406	1.40479091163795	0.121733226368908	0.903110298084184	NA
PIWIL3	271.591060888839	-0.890618843863847	1.39421191560039	-0.638797326215878	0.522954787914666	NA
SGSM1	219.381099627873	0.00681139049765112	1.39486022920303	0.00488320647119093	0.996103780434114	NA
TMEM211	910.718858590293	-2.47058028488421	1.39285993527116	-1.77374639209738	0.0761051089762635	0.131120850404888
KIAA1671	211.306726070852	-0.470362186938704	1.39477226483477	-0.33723224844482	0.735941828913946	NA
CRYBB3	67.4463334203337	0.279209555656455	1.4019745059714	0.19915451705236	0.842141876811968	NA
CRYBB2	135.68636393342	0.973355199380752	1.39711115161518	0.696691310677371	0.485995997892036	NA
LRP5L	163.252535574013	-1.18806075300353	1.39648776953516	-0.850749128579189	0.394908726013459	NA
GRK3	305.257743722508	-1.62796440965314	1.3944779889302	-1.16743643325777	0.243034165099648	NA
MYO18B	384.729094361424	2.3906120784018	1.39483817499806	1.71389923308137	0.086547233942217	0.140639255156103
ASPHD2	355.202618427229	0.624795079035133	1.3934156686806	0.448391024357246	0.653871018378611	0.687526144324569
HPS4	216.00999228535	-0.141501221321037	1.39460684606243	-0.101463162697469	0.919182798517347	NA
SRRD	125.276193114622	0.249433609347091	1.39695004212291	0.178555855131393	0.858286459827277	NA
TFIP11	326.988261401348	1.01495769879471	1.39369806938876	0.728247904684152	0.466461845957875	NA
TPST2	1476.0093269289	3.84886426690679	1.39327805199423	2.76245237725364	0.00573689302077237	0.0244240118424147
CRYBB1	190.480344118068	0.357757792250586	1.3952220072915	0.256416391356304	0.797629332378027	NA
CRYBA4	180.405441830078	-0.135775034626054	1.39531060803917	-0.0973081074878796	0.922481717713803	NA
MN1	69.5736888194307	-0.762248030498469	1.40236455329762	-0.543544849808177	0.586754719802588	NA
PITPNB	86.4056701284396	-0.262886801304058	1.40018881676293	-0.187750964839029	0.851071876454006	NA
TTC28	171.502454922646	0.212046442011243	1.39561903648155	0.151937195229026	0.879236471294043	NA
CHEK2	158.323391776704	1.06599722991966	1.39670635956981	0.763222149463103	0.445330921409454	NA
HSCB	242.567993345729	0.242933101020779	1.39425251216784	0.174238955211246	0.861677671917853	NA
CCDC117	245.680278431234	-0.3547592417225	1.39415744089356	-0.254461391028494	0.799139128081626	NA
XBP1	694.867917533218	-3.46987441715226	1.39453332444107	-2.48819756139064	0.0128392388172242	0.0374696153237361
ZNRF3	445.482921539822	-1.39956450703186	1.39321427968595	-1.00455796889144	0.315109744736791	0.381870283875942
C22orf31	90.3489482666148	0.809328552600565	1.3997709592145	0.578186414908	0.563138269619615	NA
KREMEN1	2147.18503941123	-4.3005584963123	1.39300208787652	-3.08725918915744	0.00202011373320701	0.0202753412838952
EMID1	143.966782564669	0.985148643442384	1.39693261481699	0.705222738014065	0.48067163314242	NA
RHBDD3	192.445511101342	-0.0271366268821988	1.39502313504215	-0.0194524565224352	0.984480164056546	NA
EWSR1	1107.34176527486	-2.8961175136067	1.39285953286636	-2.0792602881116	0.0375934330525906	0.078362566092167
GAS2L1	437.796933179746	1.35749133746375	1.39325937033099	0.974327800243866	0.329893805477959	0.383535074661367
RFPL1	250.334215901654	-3.00233805732584	1.39853300994017	-2.14677668384408	0.0318110644276086	NA
NEFH	201.520365604462	-0.746081875791846	1.39499999952048	-0.534825717597353	0.592770377771135	NA
THOC5	2816.33068696821	-4.31807661341909	1.39278622125717	-3.10031543069221	0.0019331465237652	0.0202753412838952
NIPSNAP1	160.70114358038	-0.0526498655930554	1.39611985748409	-0.037711565601491	0.969917654540811	NA
NF2	142.883896876943	-0.311103410706244	1.39632142388444	-0.222802146686815	0.823689497188559	NA
CABP7	76.8722130185342	-0.0970360647317936	1.40060326633865	-0.0692816210442361	0.944765454863407	NA
ZMAT5	164.253526496878	0.105767883106626	1.39639122483767	0.0757437322902982	0.93962298256832	NA
UQCR10	1179.67022213221	3.39827221125706	1.39330068724758	2.43900849426138	0.0147276220682847	0.0405009606877828
ASCC2	132.49020956308	0.12848081585164	1.39701780292979	0.091967915929341	0.926723530907466	NA
MTMR3	681.285026030791	1.77509052809703	1.39281100539284	1.27446618473291	0.202498249409314	0.265662840968182
LIF	176.446033919595	-0.648959657697623	1.39586233131924	-0.464916663439356	0.641991136947687	NA
OSM	153.733935371649	-1.86954908336407	1.39846651374909	-1.33685652461715	0.181269474306762	NA
GATSL3	33.1705431967363	0.580348741388366	1.42312891751454	0.407797729528207	0.683422180651642	NA
TBC1D10A	406.456360609182	-2.72941862483612	1.39542401713721	-1.95597796176367	0.0504677502839794	0.0988614834330007
CCDC157	314.038167209541	-0.932282710006364	1.39376168616465	-0.668896784336076	0.5035613216328	NA
RNF215	289.520033559932	-0.368041620941205	1.3938946677693	-0.264038330478869	0.791750383013991	NA
MTFP1	172.599448282288	3.3772671906186	1.40434807270753	2.40486475985072	0.0161784517090636	NA
SEC14L3	456.443065224064	1.17306895586144	1.39304758473726	0.842088216306471	0.399738576619746	0.446581112536524
SEC14L4	272.048324480101	-0.395185574820387	1.39385554452857	-0.283519749497462	0.77677844457539	NA
GAL3ST1	140.404564452528	-0.0483033900698518	1.39627609228331	-0.0345944404096055	0.972403134758468	NA
TCN2	76.0306278112012	0.474608464409133	1.40095977750405	0.338773797813593	0.734780141596651	NA
SLC35E4	329.45326893424	-0.98126736598705	1.3936256090219	-0.704111175651933	0.481363540935346	NA
DUSP18	133.715273461364	-0.290457429963207	1.39661493629849	-0.207972449967504	0.835250478757809	NA
OSBP2	165.394337582177	-0.110028177380591	1.39557411039363	-0.078840798608364	0.937159252431339	NA
MORC2	132.647764400582	1.09716691512309	1.397427400323	0.785133392167268	0.432375363312055	NA
SMTN	829.468433773504	-4.32390538619007	1.39598937887681	-3.09737699413517	0.00195241404332503	0.0202753412838952
SELM	167.375865716525	0.668019541615582	1.39600228902602	0.478523242309046	0.632277835698265	NA
INPP5J	585.846536447518	-4.01978201070456	1.39670478663204	-2.87804699259155	0.00400145527030887	0.0204360037019346
PLA2G3	401.195970503947	-0.832083823962032	1.39318665941429	-0.597252219104546	0.550338999985654	0.591717872165027
RNF185	748.005897082391	-2.90805328159019	1.39370248469094	-2.08656676265815	0.0369273143714856	0.078362566092167
PIK3IP1	224.15289756506	0.974886133170858	1.39482548991993	0.69893054021175	0.484595440429119	NA
PATZ1	616.095299970662	3.40356185397464	1.39502147359902	2.43979172965258	0.0146957316499521	0.0405009606877828
DRG1	1638.91801940877	3.27264489460093	1.39260743528926	2.35001251010927	0.0187727801135786	0.0470966237937148
EIF4ENIF1	307.593159120845	0.22024170259548	1.39373571158245	0.158022572547429	0.874439011867329	NA
PISD	403.834021879533	1.7798261209352	1.39383047545609	1.27693155823185	0.201626411435528	0.265662840968182
PRR14L	1315.55070444255	3.82519512289339	1.39343543434099	2.74515419130451	0.00604824728523846	0.0244240118424147
DEPDC5	334.133443737724	-1.91133171063282	1.39442442142701	-1.37069580915459	0.170469801792008	NA
YWHAH	1608.55034515315	-3.77560685568325	1.39296205591216	-2.71048794161939	0.00671842914039929	0.0253731354758468
C22orf42	90.4286324059681	-0.774043651277748	1.40015469813116	-0.552827235669666	0.580381716858639	NA
RFPL2	305.997599560919	1.81641666266279	1.39542475002707	1.30169445728087	0.193020855102563	NA
AL008723.1	205.137675915216	0.726608995128183	1.39498366137686	0.520872763779192	0.60245540990066	NA
SLC5A4	1836.33118721014	-4.31634960933768	1.3934310043427	-3.0976414303152	0.00195067292617174	0.0202753412838952
RFPL3	181.604786930157	-0.196031969637301	1.39520398287592	-0.140504164296622	0.888261662496722	NA
RFPL3S	67.4102924151653	-0.198256304571988	1.40246438805325	-0.141362808397	0.887583333774788	NA
RTCB	102.487169600595	-0.464755672023823	1.39835915867562	-0.332357870394321	0.739619046661448	NA
FBXO7	226.861889805823	-0.18065984584485	1.39443673648765	-0.129557577706896	0.896916468363679	NA
SYN3	2959.39173309877	-4.32112485102784	1.39264924356318	-3.10280917539005	0.00191693200152144	0.0202753412838952
TIMP3	712.718168931093	-3.33095270912266	1.39423944828627	-2.38908224352488	0.0168905208100878	0.0453257374363813
LARGE1	161.073989044867	0.390574026537739	1.39594568882474	0.279791706557414	0.779637314897818	NA
RP1-101G11.2	0.498580220388882	0.864156144135515	2.51977105355236	0.34295026245231	0.731635878190402	NA
HMGXB4	431.597103939559	2.21624779524786	1.39411256963238	1.58971939822067	0.111898069151724	0.170227913709538
TOM1	122.500375733757	-0.521988768939592	1.39735423548742	-0.373555076932596	0.708735361473814	NA
HMOX1	307.073344771446	1.2006726894896	1.39428349340812	0.861139571088754	0.389161177181601	NA
MCM5	280.699385018564	-1.31757608875767	1.39437201599114	-0.944924362829468	0.344697492528638	NA
MB	678.583780132217	3.31536520374764	1.39450680793731	2.37744640963895	0.0174329759370697	0.0453257374363813
APOL6	186.408515495994	-0.815039023931221	1.39556472201389	-0.58402094225703	0.559206222345978	NA
APOL5	196.654974388219	-0.064071011469273	1.39509399273013	-0.0459259460675398	0.963369274020412	NA
RBFOX2	403.042367819362	2.05642738159338	1.39431695131741	1.47486364535006	0.140249205976885	0.204649351578516
APOL3	235.052180307592	-0.922290283963179	1.394571432695	-0.661343164172563	0.508392266010143	NA
APOL4	513.585615532038	1.53682579162227	1.39306278667861	1.10319922857635	0.269940656273266	0.338609770588395
APOL1	675.909838940695	2.18205159691141	1.39315798153385	1.56626285448906	0.117287093272735	0.176547940400012
TXN2	216.902230368163	2.47006599790968	1.39763258057998	1.76732142068745	0.0771744144452527	NA
